country,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
Guatemala,24656,32079,35609,36100,27164,29642,31555,33140,31208,36025,38031,46715,47104,51106,45382,47864,55752,59616,56764,58128,55300,48600,69600,90700,53800,52744,45418,49895,44225,32033,22680,22680,24267,26004,26003,23690,23000,14633,8246,9525,6214.22,2676.19,2830.42,4232.02,2975.57,1587.57,1864.26,1846.12,1546.75,1437.89,1433.35,1515,1556,1673.76,594.21,743.89,638,464,164,18.05,291.97
Honduras,802,755,691,560,528,538,549,564,681,681,700,700,700,500,500,500,500,1000,700,700,700,700,650,650,600,600,650,680,700,750,785.66,800,841.92,850,900,928.57,1000,1000,950,1051.43,1060.37,1060.72,1000,1056.28,1070.39,1085.46,1099.49,1113.3,1127,1139.61,1170.08,1173.61,1186.05,1193.6,1213.15,1224.43,1234.19,1254.65,1261.86,1250.23,1255.58
Hungary,1935700,1973137,1592851,2142857,2453283,2348683,3021625,3360554,3585385,2722523,3921939,4094570,4502385,4970811,4007324,5148100,5319049,5677255,3708866,6077330,4613863,5761862,5985098,7391963,6578346,5793015,5747761,7025775,6539521,6198256,6007888,3453112,3020655,4873751,4614200,3911820,5258817,4898634,2638970,3692470,5196760,3910244,2941248,6006820,5088219,4376235,3986708,5630833,4419163,3745190,4107000,4010990,5058300,5261890,5331426,5603184,5246258,5258430,5377710,5121480,5290140
India,10997000,12072000,10776000,9853000,12257000,10394000,11393000,16540100,18651600,20093296,23832496,26409904,24734608,21778000,24104400,28846304,29009904,31749200,35507808,31830000,36312608,37451808,42793904,45476000,44068800,47051808,44322896,46169408,54110208,49849504,55134496,55689504,57210100,59840000,65767400,62097400,69350200,66345000,71287504,76368896,69680896,72766304,65760800,72156200,68636896,69354496,75806704,78570200,80679400,80803600,86874000,94880000,93510000,95850000,86530000,92290000,98510220,99869520,103596230,107860510,109590000
Iran (Islamic Republic of),2869119,2754740,2468140,2622578,3647713,4380982,3800000,4400000,4100000,4262000,3700000,4546000,4600000,4700000,5507000,6044000,5517200,5660000,6025148,5849800,5652852,6660072,5956162,6206681,6630522,7556390,7601280,7260230,6010024,8011675,8792666,10178679.4,10732341.7,10869560,11227545.9,10015183,10044716,11955080.3,8673197,8087756,9458618,12450241.5,13439565,14568481,14307970,14663745,15886608.5,6999977.4,12093027.5,12142987.9,8677966,8816001,9304246,10578698.6,11522318,14592003,12704746,13012380.31,14500000,10416184.57,10093578.64
Iraq,857350,1085494,488254,807013,1005288,825955,860000,1537000,1183000,1236000,822300,2625000,957000,1339000,845400,1302400,695700,909800,684800,975600,902000,965100,841000,470900,1405500,1036000,722200,929200,491400,1195800,1476400,1006000,1187000,1342000,1236000,1300000,1063000,1130000,800000,384000,903400,2589000,2329000,1832000,2228000,2086000,2202800,1255000,1700390,2748840,2808900,3062312,4178379,5055111,2645061,3052939,2974136,2177885,4343473,6238392,4233714
Ireland,469900,439000,300600,271600,232660,185300,298000,412300,362800,381000,380200,270400,228900,245000,195000,200000,250000,253000,252000,272000,286000,400000,387000,602000,495000,424000,402000,455000,459000,598000,674000,714000,539000,572000,583000,771000,725000,673000,597000,737400,769200,867200,794100,1019200,802700,801000,713400,992800,690100,669200,929200,707900,545300,717000,696600,647700,681679,485480,595360,364920,628080
Israel,65900,51700,54700,126500,150000,100600,221600,175000,155800,125000,199500,301400,241500,274000,243300,205500,220000,167000,133200,253200,215000,147000,335000,130000,127700,168500,298000,211000,201700,291200,180000,254100,217000,103230,242000,185000,116000,155000,29000,94000,157970,177275,184300,154300,200800,131200,158921,75734,132963,112324.32,141866,222487,178200,139800,173000,168000,72200,70500,84750,116691,150000
Italy,8301200,9496900,8126800,8585800,9775900,9399600,9595600,9655400,9584600,9688600,9993900,9255000,8811400,9576700,9480000,9105800,6238300,9190500,8980300,9156000,8830300,8968300,8717400,10057300,8460700,9102100,9381000,7951900,7412900,8108500,9415660,8938421,8169800,8251400,7946080,7987241,6758351,8338301,7742800,7463968,6413300,7547763,6229453,8638721,7717129,7181720,7170181,8855440,6534746,6849858,6641806.5,7654248.3,7312024.7,7141926.4,7394494.7,8037872.1,6966465,7104650,6739470,6716180,7294570
Japan,1781000,1631000,715500,1244000,1287000,1024000,996900,1012000,757900,473600,440300,283900,202300,231700,240700,222400,236400,366700,541300,582800,587400,741800,695300,740500,874200,875700,863700,1021000,984500,951500,759000,758700,637800,564800,443600,478100,573100,569500,583100,688200,699900,827800,855900,860300,874700,837200,910100,881200,674200,571300,746300,857800,811700,852400,1004000,790800,906700,764900,1037000,949300,1097000
Jordan,138200,111900,75800,294702,277863,101150,167200,95090,159332,54155,168079,211412,50420,244465,50016,66654,62485,53320,16465,133535,50613,52250,100800,49716,62827,30842,79806,78773,54520,82870,61844,75435,57093.5,46852,58457,42678,41782,35974,9250,25433,19293,43771,42526,13166,34363,22928,20997,7835,12484,22125,19801,19205,28517,27452,21925,31150,12110,16389,26361,25749,30000
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18284600,11585000,9052200,6490400,7678100,8955000,4746300,11241800,9073460,12706810,12699980,11537420,9936970,11198330,13460480,16466870,12538190,17052020,9638400,22732066.51,9841127.62,13940809.27,12996864.74,13746967,14985379,14802865,13944108,11451648.71,14257950.14,11814123.97
